All   channel acquired
Date[dd-mm-yy]= 20-10-22   Time= 15:15:17
  time[s]	      Bx[mT]	     By[mT]	      Bz[mT]	     Bmod[mT]
  2.928240	    -0.020	    -0.040	    -0.020	     0.049
  2.934880	     0.000	     0.000	    -0.010	     0.010
  2.941520	    -0.010	    -0.010	     0.000	     0.014
  2.948160	    -0.010	    -0.030	    -0.020	     0.037
  2.954800	    -0.010	    -0.010	     0.010	     0.017
  2.961440	     0.000	     0.010	    -0.020	     0.022
  2.968080	    -0.030	    -0.040	     0.010	     0.051
  2.974720	    -0.050	    -0.010	    -0.030	     0.059
  2.981360	    -0.020	    -0.020	    -0.020	     0.035
  2.988000	    -0.020	    -0.020	    -0.010	     0.030
  2.994640	    -0.010	    -0.020	    -0.020	     0.030
  3.001280	    -0.020	    -0.020	    -0.060	     0.066
  3.007920	     0.000	    -0.020	     0.000	     0.020
  3.014560	     0.000	    -0.020	    -0.050	     0.054
  3.021200	    -0.010	    -0.020	     0.000	     0.022
  3.027840	    -0.030	    -0.040	     0.000	     0.050
  3.034480	    -0.010	    -0.010	    -0.060	     0.062
  3.041120	    -0.030	     0.010	    -0.020	     0.037
  3.047760	    -0.020	    -0.010	    -0.020	     0.030
  3.054400	    -0.010	    -0.010	    -0.020	     0.024
  3.061040	    -0.020	    -0.020	    -0.050	     0.057
  3.067680	    -0.010	    -0.010	     0.000	     0.014
  3.074320	     0.010	     0.010	    -0.020	     0.024
  3.080960	    -0.010	    -0.010	    -0.030	     0.033
  3.087600	     0.020	    -0.030	    -0.020	     0.041
  3.094240	     0.000	    -0.020	    -0.050	     0.054
  3.100880	     0.000	    -0.030	     0.020	     0.036
  3.107520	     0.000	    -0.010	    -0.020	     0.022
  3.114160	     0.000	    -0.020	    -0.030	     0.036
  3.120800	    -0.020	     0.000	    -0.010	     0.022
  3.127440	     0.000	     0.010	    -0.020	     0.022
  3.134080	    -0.010	    -0.010	     0.010	     0.017
  3.140720	    -0.010	    -0.010	     0.000	     0.014
  3.147360	     0.000	    -0.010	    -0.010	     0.014
  3.154000	    -0.040	    -0.030	     0.010	     0.051
  3.160640	    -0.040	     0.010	     0.000	     0.041
  3.167280	     0.000	    -0.030	    -0.050	     0.058
  3.173920	    -0.020	    -0.010	    -0.020	     0.030
  3.180560	     0.000	    -0.030	    -0.010	     0.032
  3.187200	    -0.020	    -0.010	     0.010	     0.024
  3.193840	     0.000	     0.000	    -0.030	     0.030
